THERAPY_TYPE,NAME,COMPOUND__C,CATEGORIES,HCP_ACC,INDICATIONS,CALL_ID,THERAPY_K_TOPIC,THERAPY_TYPE_KEY_ASPECTS,INTERACTION_NUMBER,INTERACTION_STAT,INTERACTION_TYPE,MSL_ID,MSL_NAME,CREATED_DATE,HCP_NUMBER,TL,NPI_NO__PC
Therapy 1,Therapy-921829,Compound 2,Category1,0029y00000g1EtiAAE,Indication 1,v78TR98995YRxYnIYJ,Topic 1,Aspect 1,AL734438,Submitted,Telephone,1293Q881236LqRjDIK,2,"Thursday, January 4, 2024",HCP_NAME,Others,237768303
Therapy 1,Therapy-921847,Compound 2,Category1,0029y00001PQu9RAAT,Indication 1,v78TR98995YRwuSIYR,Topic 1,Aspect 1,AL734598,Submitted,Telephone,1293Q881236LqRjDIK,25,"Friday, January 5, 2024",Wallie Dunsmore,TL,292086012
Therapy 1,Therapy-921860,Compound 2,Category1,0029y00000g1G5gAAE,Indication 1,v78TR98995YRx4nIYE,Topic 1,Aspect 1,AL734608,Submitted,Face to Face,1293Q881236LqRjDIK,23,"Friday, January 5, 2024",Elnora Lilbourne,TL,252233533
Therapy 1,Therapy-921896,Compound 2,Category1,0029y00000g1LG5AAM,Indication 1,v78TR98995YRx9nIYE,Topic 1,Aspect 3,AL734659,Submitted,Face to Face,1293Q881236LqRhDIK,17,"Tuesday, January 9, 2024",Kris Truluck,TL,257386556
Therapy 1,Therapy-921898,Compound 2,Category1,0029y00000g1TdcAAE,Indication 1,v78TR98995YRxFRIYR,Topic 1,Aspect 1,AL734661,Submitted,VC,1293Q881236LqRjDIK,15,"Tuesday, January 9, 2024",Mauricio Dunbobin,TL,249134560
Therapy 1,Therapy-9244056,Compound 2,Category1,0029y00001CHeWDAA1,Indication 1,v78TR98995YRxFMIYR,Topic 1,Aspect 2,AL734992,Submitted,Telephone,1293Q881236LqRhDIK,17,"Friday, January 19, 2024",Jimmie Longland,Others,244638294
Therapy 1,Therapy-921928,Compound 2,Category1,0029y00001CIjWzAAL,Indication 1,v78TR98995YRxGKIYR,Topic 1,Aspect 3,AL734683,Submitted,Telephone,1293Q881236LqelDIC,24,"Thursday, January 11, 2024",Udell Dearness,Others,244386843
Therapy 1,Therapy-921935,Compound 2,Category1,0029y00000YQQ5JAAX,Indication 1,v78TR98995YRxGUIYR,Topic 1,Aspect 3,AL734698,Submitted,VC,1293Q881236UtQ9DIK,29,"Thursday, January 11, 2024",Torin Baruch,Others,243893352
Therapy 1,Therapy-9244087,Compound 1,Category1,0029y00000g1J8rAAE,Indication 2,v78TR98995YRxGyIYJ,Topic 1,Aspect 1,AL735020,Submitted,Face to Face,1293Q88123708K2DII,17,"Tuesday, January 23, 2024",Babbette Oldall,Others,243701564
Therapy 1,Therapy-9244095,Compound 2,Category1,0029y00000g1NlQAAU,Indication 1,v78TR98995YRxJeIYJ,Topic 1,Aspect 3,AL735030,Submitted,Telephone,1293Q881236LqLDIA0,3,"Wednesday, January 24, 2024",Cecilio Markie,TL,302485653
Therapy 1,Therapy-921978,Compound 2,Category1,0029y00000g1QBGAA2,Indication 1,v78TR98995YRxFRIYR,Topic 1,Aspect 1,AL734809,Submitted,Face to Face,1293Q881236LqRhDIK,26,"Friday, January 12, 2024",Renate Darton,TL,248589205
Therapy 1,Therapy-921974,Compound 2,Category1,0029y00000g1WiYAAU,Indication 1,v78TR98995YRx7DIYR,Topic 1,Aspect 3,AL734779,Submitted,Face to Face,1293Q881236LqRhDIK,19,"Friday, January 12, 2024",Rutter Greveson,TL,253688245
Therapy 1,Therapy-921975,Compound 2,Category1,0029y00000g1WiYAAU,Indication 1,v78TR98995YRwnjIYE,Topic 1,Aspect 3,AL734772,Submitted,Face to Face,1293Q8812373uiFDIQ,6,"Friday, January 12, 2024",Koren Millyard,TL,225083827
Therapy 1,Therapy-9244119,Compound 2,Category1,0029y00000m4sKbAAI,Indication 1,v78TR98995YRxLKIYR,Topic 1,Aspect 1,AL734477,Submitted,Face to Face,1293Q8812373uiPDIQ,27,"Monday, January 29, 2024",Nolan Cristofanini,Others,254906432
Therapy 1,Therapy-9244038,Compound 2,Category1,0029y00000g1SOjAAM,Indication 1,v78TR98995YRxMKIYR,Topic 1,Aspect 1,AL734966,Submitted,Face to Face,1293Q881236LqLDIA0,15,"Thursday, January 18, 2024",Mort Binns,Others,306713073
Therapy 1,Therapy-9244039,Compound 2,Category1,0029y00000YRaweAAD,Indication 1,v78TR98995YRxMRIYR,Topic 1,Aspect 1,AL734960,Submitted,Face to Face,1293Q881236LqLDIA0,12,"Thursday, January 18, 2024",Ernie Cruces,,296661516
Therapy 1,Therapy-9244120,Compound 2,Category1,0029y00000g1O1DAAU,Indication 1,v78TR98995YRxN8IYJ,Topic 1,Aspect 1,AL735079,Submitted,VC,1293Q881236LqRGDI0,11,"Monday, January 29, 2024",Sander Skilling,TL,303702143
Therapy 1,Therapy-9244126,Compound 2,Category1,0029y00001CSWUOAA5,Indication 1,v78TR98995YRxMtIYJ,Topic 1,Aspect 1,AL734998,Submitted,Telephone,1293Q881236LqRhDIK,15,"Monday, January 29, 2024",Holly Steenson,Others,241053314
Therapy 1,Therapy-9244211,Compound 2,Category1,0029y00000g1JcyAAE,Indication 1,v78TR98995YRxY7IYJ,Topic 1,Aspect 3,AL735182,Submitted,Face to Face,1293Q881236LqLDIA0,2,"Thursday, February 1, 2024",Anitra Ruthen,TL,287233509
Therapy 1,Therapy-9244219,Compound 2,Category1,0029y00000g1Jh5AAE,Indication 1,v78TR98995YRxNXIYR,Topic 1,Aspect 3,AL735194,Submitted,Face to Face,1293Q881236LqLDIA0,5,"Thursday, February 1, 2024",Jaymie McElhargy,TL,239987218
Therapy 1,Therapy-9244263,Compound 2,Category1,0029y00000YSGfeAAH,Indication 1,v78TR98995YRxNhIYJ,Topic 1,Aspect 3,AL735336,Submitted,Face to Face,1293Q881236UtQ9DIK,25,"Monday, February 5, 2024",Pauline Grund,Others,296579977
Therapy 1,Therapy-9244661,Compound 1,Category1,0029y00000g1LbGAAU,Indication 2,v78TR98995YRxHNIYR,Topic 1,Aspect 1,AL735927,Submitted,Face to Face,1293Q8812373uiFDIQ,25,"Wednesday, February 21, 2024",Fayre McCurrie,TL,250656344
Therapy 1,Therapy-9244677,Compound 2,Category1,0029y00000g1YBiAAM,Indication 1,v78TR98995YRx8VIYR,Topic 1,Aspect 3,AL735967,Submitted,Face to Face,1293Q8812373uiFDIQ,2,"Wednesday, February 21, 2024",Gnni Speeding,TL,296266835
Therapy 1,Therapy-9244694,Compound 2,Category1,0029y00000g1KP8AAM,Indication 2,v78TR98995YRxYRIYR,Topic 1,Aspect 1,AL735994,Submitted,Face to Face,1293Q881236VMrzDIG,22,"Thursday, February 22, 2024",Link Bello,TL,294298195
Therapy 1,Therapy-9244695,Compound 2,Category1,0029y00000g1KP8AAM,Indication 2,v78TR98995YRxORIYJ,Topic 1,Aspect 1,AL735997,Submitted,Face to Face,1293Q881236LqRjDIK,14,"Thursday, February 22, 2024",Theo Fison,TL,303661650
Therapy 1,Therapy-9244308,Compound 2,Category1,0029y00001PQtVkAAL,Indication 1,v78TR98995YRxOkIYJ,Topic 1,Aspect 1,AL735248,Submitted,Face to Face,1293Q881236LqikDIC,27,"Tuesday, February 6, 2024",Page Morshead,TL,291720114
Therapy 1,Therapy-9244727,Compound 2,Category1,0029y00000g1NMlAAM,Indication 1,v78TR98995YRxI6IYJ,Topic 1,Aspect 3,AL735527,Submitted,Telephone,1293Q881236UtQ9DIK,12,"Friday, February 23, 2024",Fidole Pender,Others,267592415
Therapy 1,Therapy-9244729,Compound 2,Category1,0029y00001PQuO8AAL,Indication 1,v78TR98995YRxNIIYR,Topic 1,Aspect 3,AL736031,Submitted,Face to Face,1293Q881236LqRjDIK,1,"Friday, February 23, 2024",Claudio Deevey,TL,243933803
Therapy 1,Therapy-9244760,Compound 2,Category1,0029y00000g1PlfAAE,Indication 1,v78TR98995YRxLoIYJ,Topic 1,Aspect 3,AL736055,Submitted,Face to Face,1293Q881236LqelDIC,24,"Saturday, February 24, 2024",Cristabel Di Giacomo,TL,229321763
Therapy 1,Therapy-9244747,Compound 2,Category1,0029y00000g1FJIAA2,Indication 1,v78TR98995YRxMjIYJ,Topic 1,Aspect 3,AL736052,Submitted,Face to Face,1293Q881236LqRGDI0,15,"Friday, February 23, 2024",Marijn Hawton,Others,308528961
Therapy 1,Therapy-9244752,Compound 2,Category1,0029y00000g1XEQAA2,Indication 1,v78TR98995YRxXUIYR,Topic 1,Aspect 1,AL736061,Submitted,Face to Face,1293Q881236LqRhDIK,14,"Saturday, February 24, 2024",Hubert Dwyr,Others,276298669
Therapy 1,Therapy-9244754,Compound 2,Category1,0029y00000g1XEQAA2,Indication 1,v78TR98995YRxHIIYR,Topic 1,Aspect 3,AL736062,Submitted,Face to Face,1293Q881236VMrzDIG,10,"Saturday, February 24, 2024",Lesley Spiaggia,Others,303086677
Therapy 1,Therapy-9244757,Compound 2,Category1,0029y00000g1PlfAAE,Indication 1,v78TR98995YRxXtIYJ,Topic 1,Aspect 1,AL736066,Submitted,Face to Face,1293Q881236LqRjDIK,22,"Saturday, February 24, 2024",Morten Ferrar,TL,234818919
Therapy 1,Therapy-9244374,Compound 2,Category1,0029y00000g1R75AAE,Indication 1,v78TR98995YRxKEIYJ,Topic 1,Aspect 3,AL735188,Submitted,Telephone,1293Q88123708K2DII,19,"Thursday, February 8, 2024",Margette Chitty,Others,303413307
Therapy 1,Therapy-9244376,Compound 2,Category1,0029y00000g1R75AAE,Indication 1,v78TR98995YRxRmIYJ,Topic 1,Aspect 3,AL735189,Submitted,Telephone,1293Q881236LqRhDIK,24,"Thursday, February 8, 2024",Aindrea Dunne,Others,257741969
Therapy 1,Therapy-9244379,Compound 2,Category1,0029y00001PQWttAAH,Indication 1,v78TR98995YRxRNIYR,Topic 1,Aspect 1,AL735520,Submitted,Face to Face,1293Q881236UtQ9DIK,1,"Thursday, February 8, 2024",Randall Orhrt,Others,255548899
Therapy 1,Therapy-9244786,Compound 2,Category1,0029y00000g1ZAjAAM,Indication 2,v78TR98995YRxKqIYJ,Topic 1,Aspect 2,AL736088,Submitted,Face to Face,1293Q8812373uiFDIQ,26,"Monday, February 26, 2024",Dyan Maystone,TL,271927905
Therapy 1,Therapy-9244404,Compound 2,Category1,0029y00000g1MkgAAE,Indication 1,v78TR98995YRxOYIYJ,Topic 1,Aspect 1,AL735207,Submitted,Face to Face,1293Q881236VMrzDIG,5,"Monday, February 12, 2024",Franky Gosby,Others,243287216
Therapy 1,Therapy-9244415,Compound 2,Category1,0029y00001PQtdkAAD,Indication 1,v78TR98995YRxKvIYJ,Topic 1,Aspect 1,AL735550,Submitted,Face to Face,1293Q8812373uiFDIQ,6,"Monday, February 12, 2024",Marcellina Sanday,TL,260772317
Therapy 1,Therapy-9244417,Compound 2,Category1,0029y00001PQtdkAAD,Indication 1,v78TR98995YRxRIIYR,Topic 1,Aspect 3,AL735555,Submitted,Face to Face,1293Q88123708K2DII,11,"Monday, February 12, 2024",Garey Brownill,TL,308521252
Therapy 1,Therapy-9244809,Compound 1,Category1,0029y00000g1LzHAAU,Indication 2,v78TR98995YRxgEIYE,Topic 1,Aspect 1,AL735522,Submitted,Telephone,1293Q881236LqRTDI0,4,"Tuesday, February 27, 2024",Barret Fraanchyonok,Others,275569571
Therapy 1,Therapy-9244436,Compound 2,Category1,0029y00000YR4RtAAL,Indication 1,v78TR98995YRxhJIYR,Topic 1,Aspect 3,AL735629,Submitted,Face to Face,1293Q881236LqelDIC,27,"Wednesday, February 14, 2024",Bogey Gantzer,Others,260997033
Therapy 1,Therapy-9244440,Compound 2,Category1,0029y00000m5IC1AAM,Indication 1,v78TR98995YRxhdIYE,Topic 1,Aspect 3,AL735632,Submitted,Face to Face,1293Q881236LqikDIC,2,"Wednesday, February 14, 2024",Ysabel Bickerstaffe,Others,288199498
Therapy 1,Therapy-9244838,Compound 2,Category1,0029y00000g1Ue7AAE,Indication 1,v78TR98995YRxRRIYJ,Topic 1,Aspect 1,AL736171,Submitted,Face to Face,1293Q881236LqLDIA0,9,"Wednesday, February 28, 2024",Carlee Dovermann,TL,232157265
Therapy 1,Therapy-9244832,Compound 2,Category1,0029y00000g1IMrAAM,Indication 1,v78TR98995YRxi2IYE,Topic 1,Aspect 3,AL735605,Submitted,Face to Face,1293Q881236LqRGDI0,9,"Wednesday, February 28, 2024",Jacki Carroll,Others,286358667
Therapy 1,Therapy-9244840,Compound 2,Category1,0029y00000g1Ue7AAE,Indication 1,v78TR98995YRxLUIYR,Topic 1,Aspect 3,AL736179,Submitted,Face to Face,1293Q881236LqRGDI0,4,"Wednesday, February 28, 2024",Joelie Pache,TL,305077542
Therapy 1,Therapy-9244842,Compound 2,Category1,0029y00002F81SzAAJ,Indication 1,v78TR98995YRxHrIYJ,Topic 1,Aspect 1,AL736184,Submitted,Face to Face,1293Q881236LqRGDI0,19,"Wednesday, February 28, 2024",Linzy Marfell,Others,225333349
Therapy 1,Therapy-9244843,Compound 2,Category1,0029y00002F81SzAAJ,Indication 1,v78TR98995YRxXjIYJ,Topic 1,Aspect 1,AL736185,Submitted,Face to Face,1293Q881236LqRGDI0,3,"Wednesday, February 28, 2024",Briant Parrington,Others,280875065
Therapy 1,Therapy-9244445,Compound 2,Category1,0029y00000g1SLkAAM,Indication 1,v78TR98995YRxfrIYE,Topic 1,Aspect 2,AL735644,Submitted,Face to Face,1293Q88123708K2DII,26,"Wednesday, February 14, 2024",Genny Hilling,TL,232650798
Therapy 1,Therapy-9244844,Compound 1,Category1,0029y00002F81SzAAJ,Indication 2,v78TR98995YRxiMIYR,Topic 1,Aspect 3,AL736186,Submitted,Face to Face,1293Q881236UtQ9DIK,1,"Wednesday, February 28, 2024",Kerrin Cleall,Others,251575345
Therapy 1,Therapy-9244852,Compound 2,Category1,0029y00000g1Ed2AAE,Indication 1,v78TR98995YRxWMIYR,Topic 1,Aspect 3,AL735084,Submitted,Telephone,1293Q881236LqelDIC,22,"Thursday, February 29, 2024",Jude Froschauer,Others,301311416
Therapy 1,Therapy-9244846,Compound 2,Category1,0029y00000g1Z9PAAU,Indication 1,v78TR98995YRxd6IYE,Topic 1,Aspect 3,AL735991,Submitted,Telephone,1293Q881236LqLDIA0,2,"Thursday, February 29, 2024",Levi Jenteau,Others,247824668
Therapy 1,Therapy-9244847,Compound 2,Category1,0029y00000g1Z9PAAU,Indication 1,v78TR98995YRxj1IYE,Topic 1,Aspect 1,AL735999,Submitted,Telephone,1293Q881236LqRhDIK,14,"Thursday, February 29, 2024",Piper Screach,Others,246451992
Therapy 1,Therapy-9244868,Compound 2,Category1,0029y00000m4sJ9AAI,Indication 1,v78TR98995YRxjgIYE,Topic 1,Aspect 3,AL736343,Submitted,Face to Face,1293Q881236LqikDIC,29,"Thursday, February 29, 2024",Floria Sinclar,TL,308293478
Therapy 1,Therapy-9244883,Compound 2,Category1,0029y00000g1W1fAAE,Indication 1,v78TR98995YRxhYIYR,Topic 1,Aspect 1,AL736369,Submitted,Face to Face,1293Q881236LqLDIA0,1,"Saturday, March 2, 2024",Lyle Fleckno,TL,272650430
