CUSTOMER_TYPE,ACC_NAME,ACC_ID,CORE_FLAG,INTERACTIN_TYPE,MEEING_TYPE,SCORE,KOL_RATING,CALL_STATUS,ACTIVTY,REGION,THERAPY,MSL_DESIGNATION,MSL_NAME,MSL_ID,CALL_ID,CREATE_DATE,ADDRESS,CITY,COUNTRY
HCP,Nichol Rosedale,aa10jh8586R656549CvDZSMN,Core OL,Online,MSL Commercial,National,0.539872182,Interacted,Scientific Priority 3,US,Therapy 2,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSiS5IYJ,17-04-2024,657 Fairfield Point,Akron,United States
HCP,Becki Oran,aa10jh9810I737949CvDZSMN,Core OL,Online,Congress,International,0.623219607,Planned,Scientific Priority 4,US,Therapy 3,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSiT0IYJ,18-02-2024,7 Hudson Trail,Akron,United States
HCP,Wallie Dunsmore,aa10jh9933M757300CvDZSMN,Non Core OL,Call,Congress,,,Interacted,Scientific Priority 2,US,Therapy 2,MSL,Merry,889QC45452M3RlrIAF,t77TS98995YSiEEIYE,11-04-2024,349 Vera Crossing,Akron,United States
HCP,Zackariah Rivelin,aa10jh9949K683414CvDZSMN,Non Core OL,Mail,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 1,US,Therapy 3,MSL,Merry,889QC45452M3RlrIAF,t77TS98995YSiSdIYJ,19-02-2024,185 Rusk Center,Akron,United States
HCP,Carleen Matthiae,aa10jh9178I784603CvDZSMN,Non Core OL,In person,MSL Led Scientific Meeting,,,Interacted,Scientific Priority 2,US,Therapy 2,MSL,Merry,889QC45452M3RlrIAF,t77TS98995YSidDIYS,10-03-2024,91436 Boyd Street,Albany,United States
HCP,Bud Bultitude,aa10jh9534X706738CvDZSMN,Non Core OL,Mail,Ad Board,,,Interacted,Scientific Priority 2,US,Therapy 3,MSL,Merry,889QC45452M3RlrIAF,t77TS98995YSidXIYS,03-02-2024,36 Fisk Road,Albany,United States
HCP,Abraham Lacasa,aa10jh9230H778227CvDZSMN,Core OL,Call,MSL Led Scientific Meeting,Sub-national,0.518094037,Interacted,Scientific Priority 1,US,Therapy 1,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSiMSIYJ,07-03-2024,9975 Miller Way,Albany,United States
HCP,Vinita Belford,aa10jh9389X688937CvDZSMN,Non Core OL,Mail,MSL Commercial,,,Interacted,Scientific Priority 2,US,Therapy 3,MSL,Merry,889QC45452M3RlrIAF,t77TS98995YSiSKIYS,25-01-2024,0032 Southridge Hill,Albany,United States
HCP,Sonya Henrique,aa10jh9317T743044CvDZSMN,Core OL,Call,MSL Commercial,National,0.696739755,Interacted,Scientific Priority 1,US,Therapy 1,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSiVYIYJ,04-06-2024,13 Jenna Pass,Albany,United States
HCP,Marijo Heyns,aa10jh9911P693724CvDZSMN,Non Core OL,Online,Congress,,,Interacted,Scientific Priority 2,US,Therapy 2,MSL,Merry,889QC45452M3RlrIAF,t77TS98995YSiSEIYS,18-01-2024,2751 Eagan Court,Albany,United States
HCP,Emmalyn Pape,aa10jh9215V790993CvDZSMN,Core OL,In person,MSL Led Scientific Meeting,Potential,0.786666069,Interacted,Scientific Priority 1,US,Therapy 3,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSiN6IYJ,03-03-2024,8 Clove Street,Albany,United States
HCP,Cherlyn Dani,aa10jh9179T727558CvDZSMN,Non Core OL,Mail,Congress,,,Interacted,Scientific Priority 1,US,Therapy 3,MSL,Merry,889QC45452M3RlrIAF,t77TS98995YSiVkIYJ,20-05-2024,0543 Shopko Crossing,Albuquerque,United States
HCP,Renata McGreary,aa10jh9320J656941CvDZSMN,Non Core OL,Online,MSL Commercial,,,Interacted,Scientific Priority 1,US,Therapy 3,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSidNIYS,25-04-2024,29932 Heffernan Avenue,Alexandria,United States
HCP,Valentine Pinhorn,aa10jh9241Z745269CvDZSMN,Non Core OL,Mail,Ad Board,,,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSifEIYS,08-03-2024,695 Burrows Point,Alexandria,United States
HCP,Spence Ionnisian,aa10jh9352C714896CvDZSMN,Core OL,Call,Ad Board,International,0.40009543,Interacted,Scientific Priority 3,US,Therapy 3,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSiSUIYS,10-01-2024,86992 Heffernan Circle,Alexandria,United States
HCP,Morrie Caltun,aa10jh9474M782569CvDZSMN,Non Core OL,In person,MSL Commercial,,,Planned,Scientific Priority 3,US,Therapy 1,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSieEIYS,27-04-2024,5 Killdeer Junction,Allentown,United States
HCP,Florencia Kreber,aa10jh9932A775202CvDZSMN,Core OL,Mail,Ad Board,National,0.765736874,Interacted,Scientific Priority 1,US,Therapy 2,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSifxIYE,12-02-2024,8 Crest Line Park,Amarillo,United States
HCP,Dix Prantoni,aa10jh9315V716339CvDZSMN,Core OL,Mail,MSL Commercial,Potential,0.434607495,Interacted,Scientific Priority 2,US,Therapy 1,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSigEIYE,03-03-2024,80 Derek Junction,Amarillo,United States
HCP,Cheri Darter,aa10jh9472O702600CvDZSMN,Core OL,In person,Ad Board,National,0.708347798,Interacted,Scientific Priority 2,US,Therapy 2,MSL,Edward,1293Q881236LqRjDIK,t77TS98995YSihGIYS,04-04-2024,9642 Spaight Plaza,Amarillo,United States
HCP,Earvin Kleinstub,aa10jh9898C757895CvDZSMN,Non Core OL,Mail,MSL Led Scientific Meeting,,,Planned,Scientific Priority 3,US,Therapy 1,MSL,Robin,1293Q881236XqikDIC,t77TS98995YSii9IYE,23-02-2024,40545 Onsgard Terrace,Amarillo,United States
HCP,Harland Odda,aa10jh9819V688195CvDZSMN,Core OL,Call,MSL Commercial,National,0.584613174,Interacted,Scientific Priority 1,US,Therapy 1,MSL,Shane,1293Q881236LqRhDIK,t77TS98995YSiiOIYS,23-01-2024,926 Merrick Circle,Amarillo,United States
